발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015-01-01 5:57,야간,목,1,1,0,0,0,서울,영등포구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,중형,건설기계,건설기계,949521,1946280,126.928799,37.51442589
2015,2015-01-01 5:30,야간,목,1,1,0,0,0,울산,남구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,1159202,1728395,129.2561467,35.53875501
2015,2015-01-01 14:30,주간,목,1,1,0,0,0,전북,군산시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,없음,없음,934705,1776858,126.7756585,35.98631414
2015,2015-01-01 21:00,야간,목,1,1,0,0,0,광주,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,소형,보행자,보행자,948213,1684783,126.9313967,35.15696445
2015,2015-01-02 6:50,주간,금,1,1,0,0,0,부산,영도구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1142714,1678614,129.0656593,35.09256151
2015,2015-01-02 6:34,주간,금,1,1,0,0,0,울산,남구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,1168168,1720763,129.3534236,35.46849521
2015,2015-01-02 11:50,주간,금,1,4,1,1,1,경북,칠곡군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,승용차,중형,1080026,1779167,128.3879752,36.00603163
2015,2015-01-02 17:50,주간,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,과속,교차로,교차로내,승합차,중형,보행자,보행자,954929,1922294,126.9914549,37.29850929
2015,2015-01-02 17:40,주간,금,1,7,0,6,0,경기,평택시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,소형,948003,1882268,126.9160884,36.93736221
2015,2015-01-02 20:05,야간,금,1,1,0,0,0,경기,고양시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,942693,1961185,126.850374,37.6483652
2015,2015-01-02 21:54,야간,금,1,1,0,0,0,경기,용인시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,980827,1914922,127.283854,37.23295323
2015,2015-01-02 21:25,야간,금,1,1,0,0,0,충북,청주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,1002539,1840711,127.5283746,36.56416583
2015,2015-01-03 0:58,야간,토,2,3,1,0,0,서울,서대문구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,952579.4,1951310.4,126.9630803,37.55992824
2015,2015-01-03 4:50,야간,토,1,5,3,1,0,강원,강릉시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,화물차,대형,1122912,1973644,128.8952722,37.75419123
